exam,section,raw,score,createdAt,updatedAt,TestId
College Board Test 1,reading,0,10,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,1,10,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,2,10,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,3,11,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,4,12,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,5,13,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,6,14,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,7,15,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,8,15,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,9,16,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,10,17,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,11,17,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,12,18,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,13,19,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,14,19,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,15,20,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,16,20,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,17,21,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,18,21,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,19,22,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,20,22,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,21,23,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,22,23,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,23,24,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,24,24,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,25,25,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,26,25,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,27,26,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,28,26,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,29,27,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,30,28,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,31,28,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,32,29,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,33,29,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,34,30,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,35,30,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,36,31,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,37,31,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,38,32,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,39,32,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,40,33,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,41,33,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,42,34,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,43,35,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,44,35,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,45,36,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,46,37,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,47,37,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,48,38,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,49,38,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,50,39,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,51,40,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,reading,52,40,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,0,10,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,1,10,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,2,10,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,3,10,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,4,11,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,5,12,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,6,13,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,7,13,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,8,14,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,9,15,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,10,16,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,11,16,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,12,17,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,13,18,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,14,19,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,15,19,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,16,20,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,17,21,3/4/20 0:00,3/4/20 0:00,1
College Board Test 1,writing,18,21,3/4/20 0:00,3/4/20 0:00,1
